passenger_id,survived,boat,body
1,1,2,
2,1,11,
3,0,,
4,0,,135.0
5,0,,
6,1,3,
7,1,10,
8,0,,
9,1,D,
10,0,,22.0
11,0,,124.0
12,1,4,
13,1,9,
14,1,6,
15,1,B,
16,0,,
17,0,,
18,1,6,
19,1,8,
20,0,A,
21,1,5,
22,1,5,
23,1,5,
24,1,4,
25,1,8,
26,0,,148.0
27,1,7,
28,1,7,
29,1,8,
30,1,D,
31,0,,
32,1,7,
33,1,8,
34,1,8,
35,0,,
36,1,4,
37,1,6,
38,1,9,
39,0,,
40,0,,208.0
41,0,,
42,1,6,
43,1,D,
44,1,8,
45,1,3,
46,0,,
47,0,,
48,1,5,
49,1,6,
50,1,3,
51,1,3,
52,0,,
53,0,,
54,0,,
55,1,4,
56,1,4,
57,1,C,
58,1,4,
59,0,,
60,1,5,
61,0,,172.0
62,1,6,
63,0,,
64,1,4,
65,1,5,
66,1,5,
67,1,4,
68,1,8,
69,1,7,
70,1,6,
71,0,,
72,0,,
73,1,4,
74,1,11,
75,0,,
76,0,,
77,1,14,
78,0,,
79,1,14,
80,1,2,
81,0,,
82,0,,269.0
83,1,7,
84,1,7,
85,0,,
86,1,4,
87,1,5 9,
88,1,3,
89,1,8,
90,0,,
91,1,3,
92,1,3,
93,1,3,
94,1,13,
95,1,5,
96,1,5,
97,0,,62.0
98,1,6,
99,1,2,
100,1,1,
101,1,1,
102,0,,133.0
103,1,7,
104,1,4,
105,1,4,
106,0,,
107,0,,
108,1,7,
109,1,4,
110,1,5,
111,0,,
112,1,10,
113,1,10,
114,1,10,
115,0,,
116,0,,
117,1,10,
118,1,1,
119,0,,
120,1,5,
121,1,5,
122,1,5,
123,1,5,
124,1,5,
125,1,5,
126,0,,
127,0,,
128,1,D,
129,0,,275.0
130,1,4,
131,1,7,
132,1,7,
133,0,,
134,1,5,
135,1,5,
136,0,,
137,1,B,
138,1,3,
139,0,,147.0
140,1,3,
141,1,7,
142,1,7,
143,0,,
144,1,5,
145,1,5,
146,1,3,
147,1,3,
148,0,,
149,0,,
150,1,D,
151,0,,110.0
152,1,3,
153,1,3,
154,1,7,
155,0,,307.0
156,1,3,
157,0,,
158,0,,
159,0,,
160,1,4,
161,1,4,
162,1,10,
163,0,,38.0
164,1,8,
165,1,15,
166,1,D,
167,0,14,
168,1,D,
169,1,6,
170,0,,
171,1,C,
172,0,,80.0
173,0,,
174,0,,45.0
175,0,,258.0
176,0,,
177,1,8,
178,1,5,
179,1,5,
180,0,,
181,1,2,
182,1,8,
183,1,2,
184,1,3,
185,0,,
186,0,,
187,1,6,
188,1,9,
189,1,9,
190,0,,126.0
191,1,10,
192,0,,
193,1,,
194,1,2,
195,0,,
196,1,8,
197,1,7,
198,0,,
199,1,10,
200,1,6,
201,0,,292.0
202,0,,175.0
203,1,7,
204,0,,
205,1,6,
206,0,,249.0
207,0,,230.0
208,1,14,
209,1,14,
210,1,11,
211,0,,
212,0,,
213,0,,
214,1,6,
215,1,6,
216,0,,122.0
217,1,5,
218,0,,263.0
219,1,8,
220,1,7,
221,1,5,
222,0,,234.0
223,0,,189.0
224,0,,
225,0,,166.0
226,0,,
227,0,,
228,1,8,
229,0,,
230,1,8,
231,1,3,
232,1,6,
233,0,,207.0
234,1,7,
235,0,,
236,1,A,
237,0,,232.0
238,0,,
239,1,2,
240,0,,
241,1,9,
242,0,,
243,1,11,
244,0,,16.0
245,0,,
246,1,8,
247,0,,
248,1,6,
249,0,,109.0
250,1,4,
251,1,4,
252,1,4,
253,0,,
254,1,4,
255,1,3,
256,1,9,
257,1,1,
258,1,11,
259,1,4,
260,1,7,
261,1,3,
262,1,5,
263,0,,
264,1,11,
265,1,3,
266,1,7,
267,0,,
268,0,,
269,0,,
270,0,,
271,1,6,
272,1,7,
273,1,7,
274,1,3,
275,1,3,
276,1,3,
277,0,,
278,1,6,
279,1,3,
280,0,,
281,1,1,
282,1,5,
283,1,4,
284,0,,
285,1,6,
286,0,,96.0
287,0,,
288,0,,46.0
289,1,8,
290,1,8,
291,0,,
292,1,8,
293,1,5 7,
294,1,5 7,
295,0,,
296,1,B,
297,1,4,
298,1,D,
299,1,7,
300,0,,
301,0,,245.0
302,0,,
303,1,3,
304,0,,
305,1,5,
306,0,,
307,0,,
308,0,,169.0
309,1,8,
310,1,8,
311,0,,
312,1,8,
313,0,,
314,0,,
315,1,4,
316,1,8 10,
317,0,,
318,1,A,
319,0,,
320,1,3,
321,1,D,
322,0,,
323,1,8,
324,0,,
325,1,10,
326,0,,
327,0,,
328,0,,
329,0,,
330,1,11,
331,0,,
332,0,,
333,0,,
334,1,10,
335,0,,
336,0,,174.0
337,1,13,
338,1,13,
339,0,,
340,1,11,
341,1,11,
342,1,13,
343,1,11,
344,1,13,
345,1,12,
346,0,,
347,0,,
348,0,,
349,0,,
350,1,11,
351,1,14,
352,0,,
353,1,14,
354,1,12,
355,0,,
356,1,9,
357,0,,97.0
358,0,,
359,1,,
360,1,13,
361,1,13,
362,1,13,
363,1,14,
364,0,,
365,0,,18.0
366,0,,
367,0,,
368,0,,130.0
369,0,,17.0
370,0,,
371,1,12,
372,1,12,
373,0,,
374,1,14,
375,0,,
376,0,,
377,1,9,
378,1,14,
379,0,,
380,1,14,
381,1,14,
382,0,,
383,0,,
384,0,,
385,0,,
386,1,14,
387,0,,
