passenger_id,age_updated,embarked_updated,fare_updated,deck,pclass_updated
1,29.0,Southampton (UK),211.3375,B,First class
2,0.9167,Southampton (UK),151.55,C,First class
3,2.0,Southampton (UK),151.55,C,First class
4,30.0,Southampton (UK),151.55,C,First class
5,25.0,Southampton (UK),151.55,C,First class
6,48.0,Southampton (UK),26.55,E,First class
7,63.0,Southampton (UK),77.9583,D,First class
8,39.0,Southampton (UK),0.0,A,First class
9,53.0,Southampton (UK),51.4792,C,First class
10,71.0,Cherbourg (FR),49.5042,Unknown,First class
11,47.0,Cherbourg (FR),227.525,C,First class
12,18.0,Cherbourg (FR),227.525,C,First class
13,24.0,Cherbourg (FR),69.3,B,First class
14,26.0,Southampton (UK),78.85,Unknown,First class
15,80.0,Southampton (UK),30.0,A,First class
16,41.0,Southampton (UK),25.925,Unknown,First class
17,24.0,Cherbourg (FR),247.5208,B,First class
18,50.0,Cherbourg (FR),247.5208,B,First class
19,32.0,Cherbourg (FR),76.2917,D,First class
20,36.0,Cherbourg (FR),75.2417,C,First class
21,37.0,Southampton (UK),52.5542,D,First class
22,47.0,Southampton (UK),52.5542,D,First class
23,26.0,Cherbourg (FR),30.0,C,First class
24,42.0,Cherbourg (FR),227.525,Unknown,First class
25,29.0,Southampton (UK),221.7792,C,First class
26,25.0,Cherbourg (FR),26.0,Unknown,First class
27,25.0,Cherbourg (FR),91.0792,B,First class
28,19.0,Cherbourg (FR),91.0792,B,First class
29,35.0,Southampton (UK),135.6333,C,First class
30,28.0,Southampton (UK),26.55,C,First class
31,45.0,Southampton (UK),35.5,T,First class
32,40.0,Cherbourg (FR),31.0,A,First class
33,30.0,Southampton (UK),164.8667,C,First class
34,58.0,Southampton (UK),26.55,C,First class
35,42.0,Southampton (UK),26.55,D,First class
36,45.0,Cherbourg (FR),262.375,Unknown,First class
37,22.0,Southampton (UK),55.0,E,First class
38,41.0,Southampton (UK),26.55,Unknown,First class
39,41.0,Southampton (UK),30.5,A,First class
40,48.0,Cherbourg (FR),50.4958,B,First class
41,41.0,Cherbourg (FR),39.6,Unknown,First class
42,44.0,Cherbourg (FR),27.7208,B,First class
43,59.0,Southampton (UK),51.4792,C,First class
44,60.0,Cherbourg (FR),76.2917,D,First class
45,41.0,Cherbourg (FR),134.5,E,First class
46,45.0,Southampton (UK),26.55,B,First class
47,41.0,Southampton (UK),31.0,Unknown,First class
48,42.0,Southampton (UK),26.2875,E,First class
49,53.0,Cherbourg (FR),27.4458,Unknown,First class
50,36.0,Cherbourg (FR),512.3292,B,First class
51,58.0,Cherbourg (FR),512.3292,B,First class
52,33.0,Southampton (UK),5.0,B,First class
53,28.0,Southampton (UK),47.1,Unknown,First class
54,17.0,Southampton (UK),47.1,Unknown,First class
55,11.0,Southampton (UK),120.0,B,First class
56,14.0,Southampton (UK),120.0,B,First class
57,36.0,Southampton (UK),120.0,B,First class
58,36.0,Southampton (UK),120.0,B,First class
59,49.0,Southampton (UK),26.0,Unknown,First class
60,37.0,Cherbourg (FR),27.7208,Unknown,First class
61,36.0,Southampton (UK),78.85,C,First class
62,76.0,Southampton (UK),78.85,C,First class
63,46.0,Southampton (UK),61.175,E,First class
64,47.0,Southampton (UK),61.175,E,First class
65,27.0,Southampton (UK),53.1,E,First class
66,33.0,Southampton (UK),53.1,E,First class
67,36.0,Cherbourg (FR),262.375,B,First class
68,30.0,Southampton (UK),86.5,B,First class
69,45.0,Cherbourg (FR),29.7,A,First class
70,37.0,Southampton (UK),55.0,E,First class
71,41.0,Southampton (UK),0.0,Unknown,First class
72,27.0,Cherbourg (FR),136.7792,C,First class
73,26.0,Cherbourg (FR),136.7792,C,First class
74,22.0,Southampton (UK),151.55,Unknown,First class
75,41.0,Southampton (UK),52.0,A,First class
76,47.0,Southampton (UK),25.5875,E,First class
77,39.0,Cherbourg (FR),83.1583,E,First class
78,37.0,Cherbourg (FR),83.1583,E,First class
79,64.0,Cherbourg (FR),83.1583,E,First class
80,55.0,Southampton (UK),25.7,C,First class
81,41.0,Southampton (UK),26.55,Unknown,First class
82,70.0,Southampton (UK),71.0,B,First class
83,36.0,Southampton (UK),71.0,B,First class
84,64.0,Southampton (UK),26.55,B,First class
85,39.0,Cherbourg (FR),71.2833,C,First class
86,38.0,Cherbourg (FR),71.2833,C,First class
87,51.0,Southampton (UK),26.55,E,First class
88,27.0,Southampton (UK),30.5,Unknown,First class
89,33.0,Southampton (UK),151.55,Unknown,First class
90,31.0,Southampton (UK),52.0,B,First class
91,27.0,Southampton (UK),52.0,B,First class
92,31.0,Southampton (UK),57.0,B,First class
93,17.0,Southampton (UK),57.0,B,First class
94,53.0,Southampton (UK),81.8583,A,First class
95,4.0,Southampton (UK),81.8583,A,First class
96,54.0,Southampton (UK),81.8583,A,First class
97,50.0,Cherbourg (FR),106.425,C,First class
98,27.0,Cherbourg (FR),247.5208,B,First class
99,48.0,Cherbourg (FR),106.425,C,First class
100,48.0,Cherbourg (FR),39.6,A,First class
101,49.0,Cherbourg (FR),56.9292,A,First class
102,39.0,Cherbourg (FR),29.7,A,First class
103,23.0,Cherbourg (FR),83.1583,C,First class
104,38.0,Cherbourg (FR),227.525,C,First class
105,54.0,Cherbourg (FR),78.2667,D,First class
106,36.0,Cherbourg (FR),31.6792,A,First class
107,41.0,Southampton (UK),221.7792,C,First class
108,37.0,Southampton (UK),31.6833,Unknown,First class
109,37.0,Cherbourg (FR),110.8833,Unknown,First class
110,36.0,Southampton (UK),26.3875,E,First class
111,30.0,Cherbourg (FR),27.75,C,First class
112,24.0,Southampton (UK),263.0,C,First class
113,28.0,Southampton (UK),263.0,C,First class
114,23.0,Southampton (UK),263.0,C,First class
115,19.0,Southampton (UK),263.0,C,First class
116,64.0,Southampton (UK),263.0,C,First class
117,60.0,Southampton (UK),263.0,C,First class
118,30.0,Cherbourg (FR),56.9292,E,First class
119,41.0,Southampton (UK),26.55,D,First class
120,50.0,Southampton (UK),133.65,Unknown,First class
121,43.0,Cherbourg (FR),27.7208,D,First class
122,37.0,Southampton (UK),133.65,Unknown,First class
123,22.0,Cherbourg (FR),49.5,B,First class
124,60.0,Cherbourg (FR),79.2,B,First class
125,48.0,Cherbourg (FR),79.2,B,First class
126,41.0,Southampton (UK),0.0,B,First class
127,37.0,Southampton (UK),53.1,C,First class
128,35.0,Southampton (UK),53.1,C,First class
129,47.0,Southampton (UK),38.5,E,First class
130,35.0,Cherbourg (FR),211.5,C,First class
131,22.0,Cherbourg (FR),59.4,Unknown,First class
132,45.0,Cherbourg (FR),59.4,Unknown,First class
133,24.0,Cherbourg (FR),79.2,B,First class
134,49.0,Cherbourg (FR),89.1042,C,First class
135,37.0,Cherbourg (FR),89.1042,C,First class
136,71.0,Cherbourg (FR),34.6542,A,First class
137,53.0,Cherbourg (FR),28.5,C,First class
138,19.0,Southampton (UK),30.0,B,First class
139,38.0,Southampton (UK),153.4625,C,First class
140,58.0,Southampton (UK),153.4625,C,First class
141,23.0,Cherbourg (FR),63.3583,D,First class
142,45.0,Cherbourg (FR),63.3583,D,First class
143,46.0,Cherbourg (FR),79.2,B,First class
144,25.0,Cherbourg (FR),55.4417,E,First class
145,25.0,Cherbourg (FR),55.4417,E,First class
146,48.0,Cherbourg (FR),76.7292,D,First class
147,49.0,Cherbourg (FR),76.7292,D,First class
148,41.0,Southampton (UK),42.4,Unknown,First class
149,45.0,Southampton (UK),83.475,C,First class
150,35.0,Southampton (UK),83.475,C,First class
151,40.0,Southampton (UK),0.0,B,First class
152,27.0,Cherbourg (FR),76.7292,D,First class
153,41.0,Southampton (UK),30.0,D,First class
154,24.0,Cherbourg (FR),83.1583,C,First class
155,55.0,Southampton (UK),93.5,B,First class
156,52.0,Southampton (UK),93.5,B,First class
157,42.0,Southampton (UK),42.5,B,First class
158,41.0,Southampton (UK),51.8625,E,First class
159,55.0,Southampton (UK),50.0,C,First class
160,16.0,Cherbourg (FR),57.9792,B,First class
161,44.0,Cherbourg (FR),57.9792,B,First class
162,51.0,Southampton (UK),77.9583,D,First class
163,42.0,Southampton (UK),52.0,Unknown,First class
164,35.0,Southampton (UK),52.0,Unknown,First class
165,35.0,Cherbourg (FR),26.55,Unknown,First class
166,38.0,Southampton (UK),90.0,C,First class
167,41.0,Cherbourg (FR),30.6958,Unknown,First class
168,35.0,Southampton (UK),90.0,C,First class
169,38.0,Southampton (UK),80.0,B,First class
170,50.0,Cherbourg (FR),28.7125,C,First class
171,49.0,Southampton (UK),0.0,B,First class
172,46.0,Southampton (UK),26.0,Unknown,First class
173,50.0,Southampton (UK),26.0,E,First class
174,32.5,Cherbourg (FR),211.5,C,First class
175,58.0,Cherbourg (FR),29.7,B,First class
176,41.0,Southampton (UK),51.8625,D,First class
177,37.0,Southampton (UK),51.8625,D,First class
178,42.0,Southampton (UK),52.5542,D,First class
179,45.0,Southampton (UK),52.5542,D,First class
180,41.0,Southampton (UK),26.55,C,First class
181,39.0,Southampton (UK),211.3375,Unknown,First class
182,49.0,Southampton (UK),25.9292,D,First class
183,30.0,Cherbourg (FR),106.425,Unknown,First class
184,35.0,Cherbourg (FR),512.3292,B,First class
185,41.0,Cherbourg (FR),27.7208,Unknown,First class
186,42.0,Southampton (UK),26.55,Unknown,First class
187,55.0,Cherbourg (FR),27.7208,Unknown,First class
188,16.0,Southampton (UK),39.4,D,First class
189,51.0,Southampton (UK),39.4,D,First class
190,29.0,Southampton (UK),30.0,D,First class
191,21.0,Southampton (UK),77.9583,D,First class
192,30.0,Southampton (UK),45.5,Unknown,First class
193,58.0,Cherbourg (FR),146.5208,B,First class
